date,gross,turnover_cost,borrow_cost,net
2023-09-26,-0.00018433355523593848,0.0,8.3245e-05,-0.0002675785552359385
2023-09-27,0.003883615811365263,4.9949600000000014e-05,8.3245e-05,0.0037504212113652633
2023-09-28,-0.0017226496487565937,4.9913799999999996e-05,8.318516666666668e-05,-0.0018557486154232605
2023-09-29,0.0052990505623191604,0.0,8.318516666666668e-05,0.0052158653956524935
2023-10-02,-0.0003563492180690253,0.0,8.318516666666668e-05,-0.000439534384735692
2023-10-03,5.369051995336077e-05,0.0,8.318516666666668e-05,-2.9494646713305913e-05
2023-10-04,0.001974879188493362,4.9906599999999994e-05,8.318516666666668e-05,0.0018417874218266954
2023-10-05,-0.0016291861060172166,4.989725e-05,8.31355e-05,-0.0017622188560172166
2023-10-06,-0.0029644038743918463,0.0,8.31355e-05,-0.0030475393743918462
2023-10-10,-0.00039957827716028055,0.0,8.31355e-05,-0.00048271377716028053
2023-10-11,0.002591428913948507,0.0,8.31355e-05,0.002508293413948507
2023-10-12,0.0058390349468169424,4.9913799999999996e-05,8.31355e-05,0.005705985646816942
2023-10-13,-0.0013408982458155744,4.99045e-05,8.320383333333334e-05,-0.0014740065791489078
2023-10-16,-0.003828761371190316,0.0,8.320383333333334e-05,-0.00391196520452365
2023-10-17,0.0003399673923441746,0.0,8.320383333333334e-05,0.0002567635590108413
2023-10-18,0.003402079875689812,0.0,8.320383333333334e-05,0.0033188760423564787
2023-10-19,-0.005957624421525521,4.989725e-05,8.320383333333334e-05,-0.006090725504858854
2023-10-20,-0.0015444282080296133,4.9870900000000004e-05,8.316025000000001e-05,-0.0016774593580296132
2023-10-23,0.0011264072106629314,0.0,8.316025000000001e-05,0.0010432469606629314
2023-10-24,0.001347158802617925,0.0,8.316025000000001e-05,0.001263998552617925
2023-10-25,-0.0005278086162972464,0.0,8.316025000000001e-05,-0.0006109688662972463
2023-10-26,0.0004777100075635502,4.99045e-05,8.316025000000001e-05,0.0003446452575635502
2023-10-27,-0.0021171430712071497,4.984480000000001e-05,8.312583333333333e-05,-0.002250113704540483
2023-10-30,-0.004659653194855775,0.0,8.312583333333333e-05,-0.004742779028189109
2023-10-31,-0.007188541464079004,0.0,8.312583333333333e-05,-0.007271667297412338
2023-11-01,-0.004351311550964584,0.0,8.312583333333333e-05,-0.0044344373842979175
