pair,entry,exit,sign,ret
USDJPY,2024-03-08,2024-03-28,1,0.031084084858276174
AUDUSD,2024-03-10,2024-03-30,-1,0.016954654480165122
USDJPY,2024-05-02,2024-05-22,1,0.022687385690750694
USDCHF,2024-06-03,2024-06-23,1,0.0010996611938181257
GBPUSD,2024-07-05,2024-07-25,-1,-0.0063960811676456114
USDJPY,2024-07-11,2024-07-31,1,-0.033787678052885906
USDCHF,2024-07-17,2024-08-06,1,-0.02969986177663281
NZDUSD,2024-07-22,2024-08-11,1,0.0038826604574473808
USDJPY,2024-07-31,2024-08-20,1,-0.018490195331312596
USDCHF,2024-08-06,2024-08-26,1,-0.00440788304596595
USDCAD,2024-08-07,2024-08-27,1,-0.01944082709851805
GBPUSD,2024-08-16,2024-09-05,-1,-0.015195596532387345
AUDUSD,2024-08-20,2024-09-09,-1,0.011724591713115481
USDCAD,2024-08-27,2024-09-16,1,0.010136730467517726
USDCAD,2024-09-24,2024-10-14,1,0.027081444236739766
GBPUSD,2024-10-03,2024-10-23,1,-0.011261122615297228
NZDUSD,2024-10-04,2024-10-24,1,-0.025109019832332893
GBPUSD,2024-11-12,2024-12-02,1,-0.002685485313791286
USDJPY,2024-11-29,2024-12-19,1,0.034256991295951084
GBPUSD,2025-01-11,2025-01-31,1,0.01747331196655046
EURUSD,2025-01-24,2025-02-13,-1,0.01060908491115915
USDJPY,2025-02-06,2025-02-26,1,-0.012447105507421362
USDCAD,2025-02-07,2025-02-27,1,0.004115191359454413
EURUSD,2025-03-04,2025-03-24,-1,-0.01887170115797379
USDCHF,2025-03-06,2025-03-26,1,0.0010143044925486821
NZDUSD,2025-03-06,2025-03-26,-1,0.0008119393024614214
USDCHF,2025-04-03,2025-04-23,1,-0.037255873764741126
USDJPY,2025-04-03,2025-04-23,1,-0.022952473626642426
EURUSD,2025-04-10,2025-04-30,-1,-0.010748951699980722
USDCAD,2025-04-10,2025-04-30,1,-0.008327661893903842
GBPUSD,2025-06-26,2025-07-16,-1,0.02460439342962986
USDCHF,2025-06-27,2025-07-17,1,0.00482916673119532
NZDUSD,2025-11-26,2025-12-16,-1,-0.013536128536846426
USDCAD,2025-11-29,2025-12-19,1,-0.013655658136608344
