symbol,effective_from,effective_to
7433,2026-05-29,
7438,2026-05-29,
7447,2026-05-29,
7453,2026-05-29,
7456,2026-05-29,
7458,2026-05-29,
7459,2026-05-29,
7463,2026-05-29,
7466,2026-05-29,
7475,2026-05-29,
7476,2026-05-29,
7480,2026-05-29,
7482,2026-05-29,
7483,2026-05-29,
7504,2026-05-29,
7508,2026-05-29,
7510,2026-05-29,
7512,2026-05-29,
7513,2026-05-29,
7516,2026-05-29,
7520,2026-05-29,
7522,2026-05-29,
7525,2026-05-29,
7527,2026-05-29,
7532,2026-05-29,
7537,2026-05-29,
7545,2026-05-29,
7550,2026-05-29,
7552,2026-05-29,
7554,2026-05-29,
7570,2026-05-29,
7575,2026-05-29,
7581,2026-05-29,
7590,2026-05-29,
7593,2026-05-29,
7595,2026-05-29,
7596,2026-05-29,
7599,2026-05-29,
7600,2026-05-29,
7606,2026-05-29,
7607,2026-05-29,
7609,2026-05-29,
7611,2026-05-29,
7613,2026-05-29,
7616,2026-05-29,
7628,2026-05-29,
7630,2026-05-29,
7637,2026-05-29,
7649,2026-05-29,
7679,2026-05-29,
7683,2026-05-29,
7701,2026-05-29,
7702,2026-05-29,
7715,2026-05-29,
7717,2026-05-29,
7721,2026-05-29,
7723,2026-05-29,
7725,2026-05-29,
7729,2026-05-29,
7730,2026-05-29,
7731,2026-05-29,
7733,2026-05-29,
7734,2026-05-29,
7735,2026-05-29,
7740,2026-05-29,
7741,2026-05-29,
7744,2026-05-29,
7745,2026-05-29,
7747,2026-05-29,
7751,2026-05-29,
7752,2026-05-29,
7762,2026-05-29,
7780,2026-05-29,
