日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260529,フージャースホールディングス,3284,不動産業,0.0036%,TOPIX Small 2
20260529,オープンハウスグループ,3288,不動産業,0.0477%,TOPIX Mid400
20260529,東急不動産ホールディングス,3289,不動産業,0.0641%,TOPIX Mid400
20260529,飯田グループホールディングス,3291,不動産業,0.0323%,TOPIX Mid400
20260529,帝国繊維,3302,繊維製品,0.0059%,TOPIX Small 2
20260529,日本コークス工業,3315,石油・石炭製品,0.0018%,TOPIX Small 2
20260529,あさひ,3333,小売業,0.0020%,TOPIX Small 2
20260529,コスモス薬品,3349,小売業,0.0195%,TOPIX Mid400
20260529,シップヘルスケアホールディングス,3360,卸売業,0.0146%,TOPIX Mid400
20260529,ソフトクリエイトホールディングス,3371,情報・通信業,0.0024%,TOPIX Small 2
20260529,セブン＆アイ・ホールディングス,3382,小売業,0.3926%,TOPIX Core30
20260529,クリエイト・レストランツ・ホールディングス,3387,小売業,0.0203%,TOPIX Small 1
20260529,明治電機工業,3388,卸売業,0.0020%,TOPIX Small 2
20260529,ツルハホールディングス,3391,小売業,0.0589%,TOPIX Mid400
20260529,サンマルクホールディングス,3395,小売業,0.0043%,TOPIX Small 1
20260529,トリドールホールディングス,3397,小売業,0.0204%,TOPIX Mid400
20260529,帝人,3401,繊維製品,0.0265%,TOPIX Mid400
20260529,東レ,3402,繊維製品,0.1454%,TOPIX Mid400
20260529,クラレ,3405,化学,0.0375%,TOPIX Mid400
20260529,旭化成,3407,化学,0.2143%,TOPIX Large70
20260529,ＴＯＫＹＯ　ＢＡＳＥ,3415,小売業,0.0009%,TOPIX Small 2
20260529,稲葉製作所,3421,金属製品,0.0016%,TOPIX Small 2
20260529,宮地エンジニアリンググループ,3431,金属製品,0.0036%,TOPIX Small 1
20260529,トーカロ,3433,金属製品,0.0168%,TOPIX Small 1
20260529,ＳＵＭＣＯ,3436,金属製品,0.1417%,TOPIX Mid400
20260529,川田テクノロジーズ,3443,金属製品,0.0052%,TOPIX Small 2
20260529,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3445,金属製品,0.0093%,TOPIX Small 1
20260529,Ａｎｄ　Ｄｏホールディングス,3457,不動産業,0.0010%,TOPIX Small 2
20260529,ケイアイスター不動産,3465,不動産業,0.0052%,TOPIX Small 1
20260529,グッドコムアセット,3475,不動産業,0.0026%,TOPIX Small 2
20260529,ジェイ・エス・ビー,3480,不動産業,0.0050%,TOPIX Small 2
20260529,ロードスターキャピタル,3482,不動産業,0.0029%,TOPIX Small 2
20260529,アズーム,3496,不動産業,0.0017%,TOPIX Small 2
20260529,霞ヶ関キャピタル,3498,不動産業,0.0111%,TOPIX Small 1
20260529,ＪＭホールディングス,3539,小売業,0.0039%,TOPIX Small 2
20260529,コメダホールディングス,3543,卸売業,0.0132%,TOPIX Small 1
20260529,アレンザホールディングス,3546,小売業,0.0006%,TOPIX Small 2
20260529,ユニシアホールディングス,3547,小売業,0.0010%,TOPIX Small 2
20260529,バロックジャパンリミテッド,3548,小売業,0.0016%,TOPIX Small 2
20260529,クスリのアオキホールディングス,3549,小売業,0.0157%,TOPIX Mid400
20260529,力の源ホールディングス,3561,小売業,0.0021%,TOPIX Small 2
20260529,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,小売業,0.1194%,TOPIX Mid400
20260529,アセンテック,3565,卸売業,0.0011%,TOPIX Small 2
20260529,セーレン,3569,繊維製品,0.0129%,TOPIX Small 1
20260529,小松マテーレ,3580,繊維製品,0.0017%,TOPIX Small 2
20260529,ワコールホールディングス,3591,繊維製品,0.0164%,TOPIX Mid400
20260529,ＴＳＩホールディングス,3608,繊維製品,0.0055%,TOPIX Small 1
20260529,ワールド,3612,繊維製品,0.0089%,TOPIX Small 1
20260529,ＴＩＳ,3626,情報・通信業,0.0626%,TOPIX Mid400
20260529,グリーホールディングス,3632,情報・通信業,0.0025%,TOPIX Small 2
20260529,ＧＭＯペパボ,3633,情報・通信業,0.0004%,TOPIX Small 2
20260529,コーエーテクモホールディングス,3635,情報・通信業,0.0168%,TOPIX Mid400
20260529,三菱総合研究所,3636,情報・通信業,0.0044%,TOPIX Small 1
20260529,ファインデックス,3649,情報・通信業,0.0010%,TOPIX Small 2
20260529,ＫＬａｂ,3656,情報・通信業,0.0013%,TOPIX Small 2
20260529,ポールトゥウィンホールディングス,3657,情報・通信業,0.0008%,TOPIX Small 2
20260529,ネクソン,3659,情報・通信業,0.0960%,TOPIX Mid400
20260529,アイスタイル,3660,情報・通信業,0.0026%,TOPIX Small 1
20260529,エムアップホールディングス,3661,情報・通信業,0.0028%,TOPIX Small 1
20260529,エイチームホールディングス,3662,情報・通信業,0.0012%,TOPIX Small 2
20260529,セルシス,3663,情報・通信業,0.0038%,TOPIX Small 2
20260529,エニグモ,3665,情報・通信業,0.0007%,TOPIX Small 2
20260529,コロプラ,3668,情報・通信業,0.0025%,TOPIX Small 1
20260529,ブロードリーフ,3673,情報・通信業,0.0062%,TOPIX Small 1
20260529,デジタルハーツホールディングス,3676,情報・通信業,0.0008%,TOPIX Small 2
20260529,メディアドゥ,3678,情報・通信業,0.0008%,TOPIX Small 2
20260529,じげん,3679,情報・通信業,0.0020%,TOPIX Small 2
20260529,フィックスターズ,3687,情報・通信業,0.0068%,TOPIX Small 2
20260529,北里コーポレーション,368A,精密機器,0.0023%,TOPIX Small 2
20260529,オプティム,3694,情報・通信業,0.0008%,TOPIX Small 2
20260529,セレス,3696,情報・通信業,0.0015%,TOPIX Small 2
20260529,ＳＨＩＦＴ,3697,情報・通信業,0.0127%,TOPIX Mid400
20260529,特種東海製紙,3708,パルプ・紙,0.0057%,TOPIX Small 2
20260529,セック,3741,情報・通信業,0.0023%,TOPIX Small 2
20260529,テクマトリックス,3762,情報・通信業,0.0066%,TOPIX Small 1
20260529,プロシップ,3763,情報・通信業,0.0023%,TOPIX Small 2
