combo,k,wtype,cost,weights,is_sharpe,oos_sharpe,oos_ann_ret,oos_maxdd,full_sharpe
ml_mag_adaptive+ml_rank_target+sector_vol_double_neutral,3,iv,7.0,"{""ml_mag_adaptive"": 0.199, ""ml_rank_target"": 0.306, ""sector_vol_double_neutral"": 0.495}",2.2892659441209036,6.033089589862429,0.585571886205083,-0.02919320172795903,3.866237244827233
ml_mag_adaptive+ml_rank_target+ml_combined,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""ml_combined"": 0.333}",4.2310292755191385,6.508815128277691,0.940135440718087,-0.04073827704029975,5.17694194471213
ml_mag_adaptive+ml_rank_target+ml_combined,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""ml_combined"": 0.333}",2.6777364480846098,5.113083116666124,0.738535440718087,-0.053732907455751655,3.6980991592319645
ml_mag_adaptive+ml_rank_target+ml_combined,3,iv,3.0,"{""ml_mag_adaptive"": 0.245, ""ml_rank_target"": 0.377, ""ml_combined"": 0.378}",4.094815792054608,6.389636445129441,0.8906331016865838,-0.04287519881052382,5.049511642152923
ml_mag_adaptive+ml_rank_target+ml_combined,3,iv,7.0,"{""ml_mag_adaptive"": 0.245, ""ml_rank_target"": 0.377, ""ml_combined"": 0.378}",2.480888132708559,4.943304948019423,0.6890331016865838,-0.05584254371861663,3.5148834764174732
ml_mag_adaptive+idio_gap_reversal+svdn_concentrated,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""idio_gap_reversal"": 0.333, ""svdn_concentrated"": 0.333}",5.073772372372,8.63974639685018,0.8718427645093109,-0.02379052583742236,6.553461403526654
ml_mag_adaptive+idio_gap_reversal+svdn_concentrated,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""idio_gap_reversal"": 0.333, ""svdn_concentrated"": 0.333}",2.7301609841403565,6.641940204600252,0.6702427645093108,-0.031391675247185336,4.390529546056966
ml_mag_adaptive+idio_gap_reversal+svdn_concentrated,3,iv,3.0,"{""ml_mag_adaptive"": 0.181, ""idio_gap_reversal"": 0.469, ""svdn_concentrated"": 0.35}",4.619373192463911,8.84099811209758,0.7663289324712531,-0.019130131768470893,6.373990203719047
ml_mag_adaptive+idio_gap_reversal+svdn_concentrated,3,iv,7.0,"{""ml_mag_adaptive"": 0.181, ""idio_gap_reversal"": 0.469, ""svdn_concentrated"": 0.35}",1.8708766752013428,6.515175421766455,0.5647289324712533,-0.027298361619745193,3.854603345411761
ml_mag_adaptive+idio_gap_reversal+gap_short_hedged,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""idio_gap_reversal"": 0.333, ""gap_short_hedged"": 0.333}",4.859959777452295,7.825209858161987,0.8035413789895951,-0.026192160704554324,6.072355615296083
