date,n,turnover,gross,net
2023-06-26,5,0.4,0.0015822706269217534,0.0015022706269217534
2023-06-29,7,1.0,0.017763722035474085,0.017563722035474086
2023-06-30,9,0.4444444444444444,-0.0005454969776383231,-0.000634385866527212
2023-07-03,7,0.8571428571428571,0.0029990579258852446,0.002827629354456673
2023-07-04,9,0.2222222222222222,0.0012849203398751898,0.0012404758954307454
2023-07-05,10,0.3,-0.000153419631197858,-0.000213419631197858
2023-07-06,11,0.45454545454545453,-0.010210132656649771,-0.010301041747558862
2023-07-07,10,0.3,0.004229728760460603,0.004169728760460603
2023-07-10,8,0.25,-0.0003706780303688426,-0.0004206780303688426
2023-07-11,7,0.42857142857142855,0.01292097442314978,0.012835260137435495
2023-07-12,6,0.8333333333333334,-0.006609022736547767,-0.006775689403214434
2023-07-18,10,1.0,0.005506073704433864,0.005306073704433864
2023-07-19,20,0.6,-0.001014144307563523,-0.001134144307563523
2023-07-20,37,0.5675675675675675,-0.003851832062783723,-0.003965345576297237
2023-07-21,81,0.5679012345679012,0.001491000599035623,0.0013774203521220428
2023-07-24,95,0.21052631578947367,-0.0016705476217935573,-0.001712652884951452
2023-07-25,111,0.2882882882882883,0.001422389856447985,0.0013647321987903273
2023-07-26,126,0.3412698412698413,9.777495066479538e-05,2.952098241082713e-05
2023-07-27,137,0.44525547445255476,0.0008238666541445835,0.0007348155592540725
2023-07-28,119,0.7394957983193278,0.0026426029950314353,0.00249470383536757
2023-07-31,130,0.3153846153846154,0.00034708906960987003,0.00028401214653294695
2023-08-01,158,0.4810126582278481,-0.00044452871639902823,-0.0005407312480445979
2023-08-02,148,0.5540540540540541,-0.0010410750768983512,-0.001151885887709162
2023-08-03,112,0.375,-0.002647301839383411,-0.002722301839383411
2023-08-04,108,0.6296296296296297,0.00011701672468199253,-8.909201243933389e-06
2023-08-07,83,0.37349397590361444,0.0024533216034255297,0.002378622808244807
2023-08-08,45,0.8444444444444444,-0.0040852428982947105,-0.004254131787183599
2023-08-09,16,2.1875,0.002367909578578086,0.0019304095785780862
2023-08-10,9,0.7777777777777778,-0.005058693273083693,-0.005214248828639249
2023-09-06,7,1.0,-0.0009797609180696798,-0.00117976091806968
2023-09-07,5,0.4,-0.004890669383565796,-0.004970669383565796
2023-09-08,5,0.0,-0.0020800500678316205,-0.0020800500678316205
2023-09-11,5,0.4,-0.011583517475039981,-0.011663517475039981
