date,gross,net,topix_ret,hedge_notional,contracts,long_exposure
2025-12-25,-0.0020082148547654354,-0.0022481795547654357,-0.0006578504954345421,0.5130345,3.0,0.686789
2025-12-26,-0.002751750749910285,-0.003005971949910285,-0.00013144404427045675,0.5135265,3.0,0.7575795000000002
2025-12-29,-0.0038551202534431615,-0.004100291553443162,0.0013208649912332948,0.5133,3.0,0.7125565
2025-12-30,0.00020428348387764193,-3.396871612235804e-05,-0.0029773481713292194,0.5128725,3.0,0.6783885
2026-01-06,0.0004687537568637389,0.00022681865686373896,0.009388024064834743,0.5258295,3.0,0.683846
2026-01-07,0.004211920938540243,0.003928969938540243,0.000692522749229818,0.701782,4.0,0.7129730000000001
2026-01-08,0.0008032005086296098,0.0005215551086296098,-0.004946225504474988,0.700332,4.0,0.707895
2026-01-09,-0.0010310582284234191,-0.001312323328423419,0.00550521192490705,0.698974,4.0,0.7073515000000001
2026-01-13,-0.010251749747471289,-0.01053532354747129,0.009104367965634852,0.713284,4.0,0.7045849999999999
2026-01-14,-0.0013595153365952278,-0.0016340063365952277,0.008705376296464395,0.722542,4.0,0.6499129999999999
2026-01-15,-0.0020249684968385844,-0.0023140548968385846,0.009001031282227512,0.72725,4.0,0.718182
2026-01-16,-0.002167391542112069,-0.0024343624421120694,0.0007850517395597834,0.731162,4.0,0.6036925
2026-01-19,-0.003155623929371037,-0.003408005229371037,0.005914880739497752,0.545235,3.0,0.7166714999999999
2026-01-20,0.0008217880154145906,0.0005301531154145905,-0.004109257916364517,0.728112,4.0,0.7300625
2026-01-21,0.0026045710817392993,0.0023760728817392995,0.0032840034097738613,0.5366925,3.0,0.6057985
2026-01-22,-0.002104411879542824,-0.002357776979542824,-0.0024137065429378213,0.5437695,3.0,0.7230559999999999
2026-01-23,0.0004363939847092319,0.0001863682847092319,-0.001315181263894738,0.545172,3.0,0.7049564999999999
2026-01-26,0.0011977675840119614,0.0009626984840119614,-0.007983625051660392,0.537162,3.0,0.6381834999999999
2026-01-27,-0.002801892003298563,-0.003028619303298563,0.005459562557840414,0.531636,3.0,0.6020004999999999
2026-01-28,-0.006606747381655375,-0.006884281881655375,-0.0002120896771712344,0.707248,4.0,0.6804245
2026-01-29,-0.0011274401382387637,-0.0014148578382387638,0.004536323169816114,0.705858,4.0,0.7312305
2026-01-30,0.001980012807246739,0.001734734207246739,0.00268502039772045,0.5335155,3.0,0.6928775
2026-02-02,-0.0014628565466661102,-0.0016941963466661103,-0.016996222135119088,0.5395905,3.0,0.6171085000000001
2026-02-03,-0.0013399266575974443,-0.0015301742575974443,0.019091330914539073,0.357754,2.0,0.593484
2026-02-04,-0.0023914827693626165,-0.0026322169693626164,0.005144533623692826,0.5455305,3.0,0.6581405
2026-02-05,0.002848012146691952,0.0026568190466919523,-0.004271989705786128,0.366808,2.0,0.5891575
2026-02-06,0.00048696436813505054,0.0003043420681350506,0.01760660247592849,0.3635,2.0,0.5496114999999999
2026-02-09,-0.010944156772652036,-0.011143464872652036,0.007283937799004825,0.375621,2.0,0.6209195
2026-02-10,0.003449263610943675,0.003205664310943675,0.01209171431421674,0.571383,3.0,0.6466135
2026-02-12,-0.002960815243214254,-0.003156128443214254,0.006789454302148723,0.385598,2.0,0.5909679999999999
2026-02-13,-0.003763307884011236,-0.003968066784011236,-0.01098602273345295,0.386127,2.0,0.6376674999999998
2026-02-16,0.005378487061780789,0.00513100576178079,-0.00960743909709938,0.573618,3.0,0.6637885
2026-02-17,0.003344160321266624,0.003093002621266624,-0.005257270397706626,0.5672145,3.0,0.688574
2026-02-18,-0.0023610716306865743,-0.002601047330686574,0.006210769739015465,0.5675625,3.0,0.632316
2026-02-19,-0.0005132557603361627,-0.0007611234603361628,0.007822740366125291,0.5733285,3.0,0.66601
2026-02-20,-0.0016288803857956431,-0.0018288078857956432,-0.0032766291546715287,0.3821,2.0,0.6175375000000001
2026-02-24,-0.0018780460287804706,-0.0021324900287804705,0.0025826622702731505,0.5709225,3.0,0.7012974999999999
2026-02-25,0.004688239947902491,0.00442647824790249,0.0034989137700534023,0.574464,3.0,0.7343445
2026-02-26,0.005589632010776253,0.005327553710776253,0.0012385370812841856,0.581331,3.0,0.7290605
2026-02-27,0.0014766873653572063,0.0012731352653572064,0.015422056996127642,0.387886,2.0,0.6298745
